,WAPE,repsim_embeddedeuclidean,repsim_pcaeuclidean,repsim_rawcorrelation,repsim_rawdtw,repsim_sarimaeuclidean,algorithm_Agglomerative,algorithm_KMeans,algorithm_Spectral,num_clusters_10,num_clusters_20,num_clusters_30,num_clusters_5,num_clusters_50
0,0.064,1,0,0,0,0,0,1,0,1,0,0,0,0
1,0.063,1,0,0,0,0,0,1,0,0,1,0,0,0
2,0.062,1,0,0,0,0,0,1,0,0,0,1,0,0
3,0.061,1,0,0,0,0,0,1,0,0,0,0,1,0
4,0.064,0,1,0,0,0,1,0,0,1,0,0,0,0
5,0.06,0,1,0,0,0,0,1,0,1,0,0,0,0
6,0.057999999999999996,0,1,0,0,0,0,0,1,1,0,0,0,0
7,0.064,0,1,0,0,0,1,0,0,0,1,0,0,0
8,0.063,0,1,0,0,0,0,1,0,0,1,0,0,0
9,0.061,0,1,0,0,0,0,0,1,0,1,0,0,0
10,0.059000000000000004,0,1,0,0,0,1,0,0,0,0,1,0,0
11,0.062,0,1,0,0,0,0,1,0,0,0,1,0,0
12,0.064,0,1,0,0,0,0,0,1,0,0,1,0,0
13,0.061,0,1,0,0,0,1,0,0,0,0,0,0,1
14,0.063,0,1,0,0,0,0,1,0,0,0,0,0,1
15,0.061,0,1,0,0,0,0,0,1,0,0,0,0,1
16,0.062,0,1,0,0,0,1,0,0,0,0,0,1,0
17,0.061,0,1,0,0,0,0,1,0,0,0,0,1,0
18,0.062,0,1,0,0,0,0,0,1,0,0,0,1,0
19,0.064,0,0,1,0,0,1,0,0,1,0,0,0,0
20,0.06,0,0,1,0,0,0,1,0,1,0,0,0,0
21,0.061,0,0,1,0,0,0,0,1,1,0,0,0,0
22,0.066,0,0,0,1,0,1,0,0,1,0,0,0,0
23,0.06,0,0,0,1,0,0,1,0,1,0,0,0,0
24,0.062,0,0,0,1,0,0,0,1,1,0,0,0,0
25,0.063,0,0,1,0,0,1,0,0,0,1,0,0,0
26,0.063,0,0,1,0,0,0,1,0,0,1,0,0,0
27,0.061,0,0,1,0,0,0,0,1,0,1,0,0,0
28,0.063,0,0,0,1,0,1,0,0,0,1,0,0,0
29,0.062,0,0,0,1,0,0,1,0,0,1,0,0,0
30,0.061,0,0,0,1,0,0,0,1,0,1,0,0,0
31,0.063,0,0,1,0,0,1,0,0,0,0,1,0,0
32,0.06,0,0,1,0,0,0,1,0,0,0,1,0,0
33,0.065,0,0,1,0,0,0,0,1,0,0,1,0,0
34,0.065,0,0,0,1,0,1,0,0,0,0,1,0,0
35,0.063,0,0,0,1,0,0,1,0,0,0,1,0,0
36,0.065,0,0,0,1,0,0,0,1,0,0,1,0,0
37,0.061,0,0,1,0,0,1,0,0,0,0,0,0,1
38,0.062,0,0,1,0,0,0,1,0,0,0,0,0,1
39,0.063,0,0,1,0,0,0,0,1,0,0,0,0,1
40,0.063,0,0,0,1,0,1,0,0,0,0,0,0,1
41,0.061,0,0,0,1,0,0,1,0,0,0,0,0,1
42,0.064,0,0,0,1,0,0,0,1,0,0,0,0,1
43,0.06,0,0,1,0,0,1,0,0,0,0,0,1,0
44,0.064,0,0,1,0,0,0,1,0,0,0,0,1,0
45,0.065,0,0,1,0,0,0,0,1,0,0,0,1,0
46,0.065,0,0,0,1,0,1,0,0,0,0,0,1,0
47,0.06,0,0,0,1,0,0,1,0,0,0,0,1,0
48,0.064,0,0,0,1,0,0,0,1,0,0,0,1,0
49,0.062,0,0,0,0,1,1,0,0,1,0,0,0,0
50,0.062,0,0,0,0,1,0,1,0,1,0,0,0,0
51,0.065,0,0,0,0,1,0,0,1,1,0,0,0,0
52,0.065,0,0,0,0,1,1,0,0,0,1,0,0,0
53,0.062,0,0,0,0,1,0,1,0,0,1,0,0,0
54,0.061,0,0,0,0,1,0,0,1,0,1,0,0,0
55,0.062,0,0,0,0,1,1,0,0,0,0,1,0,0
56,0.062,0,0,0,0,1,0,1,0,0,0,1,0,0
57,0.063,0,0,0,0,1,0,0,1,0,0,1,0,0
58,0.065,0,0,0,0,1,1,0,0,0,0,0,0,1
59,0.062,0,0,0,0,1,0,1,0,0,0,0,0,1
60,0.062,0,0,0,0,1,0,0,1,0,0,0,0,1
61,0.063,0,0,0,0,1,1,0,0,0,0,0,1,0
62,0.062,0,0,0,0,1,0,1,0,0,0,0,1,0
63,0.062,0,0,0,0,1,0,0,1,0,0,0,1,0
